Emotion,Sentence,text_length,word_count,emotion_vn
Disgust,"mưa sấp mặt , về đi",19,6,khó chịu
Disgust,nhìn biến thái kinh khủng .,27,6,khó chịu
Enjoyment,tầm tuổi này . họ không còn những áp lực cuộc sống nữa . mà chỉ còn thứ tình cảm gắn bó với họ từ những ngày khó khăn nhất . ngưỡng mộ và ước được chút phúc đức của ông bà,171,42,vui vẻ
Disgust,sếp như nào nữa còn sếp tôi thì như lònnnnnnn,45,10,khó chịu
Anger,per tao nói rồi nha địt con mẹ mày,34,9,giận dữ
Other,bình tĩnh vô cùng,17,4,khác
Enjoyment,haha . dễ thương gê 😊😘😘,23,6,vui vẻ
Other,thiết bị này mua như nào nhỉ,28,7,khác
Sadness,cậu bạn mẫu giáo năm ấy chép bài cho tao để tao khỏi bị thẻ tay giờ đang nơi đâu ???,84,21,buồn
Sadness,thật là một câu chuyện buồn 😌,29,7,buồn
Sadness,ng dân biết phải làm sao bệnh chồng bệnh,40,9,buồn
Fear,em đừng đi tập gym em nhé . bth em đã mê trai lắm rồi . em mà đi tập nữa chị không biết em như thế nào luôn 😢 per,113,31,sợ hãi
Fear,nếu là tao thì nhảy cẩng lên chuẩn mẹ rồi :)) má nhìn trong hình tưởng ma thật ở ngoài đéo biết như lào luôn ớ,110,26,sợ hãi
Disgust,"con yêu nghiệt , tỏ cái vẻ đáng thương còn ăn vạ =)))",53,13,khó chịu
Other,cuộc tình ngang trái của nhà tớ đây ??,38,9,khác
Sadness,"thấy bình sữa của em thấy ham quá , chị sinh em bé chả có sữa gì hết .",70,19,buồn
Enjoyment,"úi sời , gần chỗ mình này",25,7,vui vẻ
Enjoyment,vừa sếp vừa đồng nghiệp tốt thì đi làm như là đi chơi 💃 bonus 6h chưa hẳn đã muốn về,84,21,vui vẻ
Enjoyment,"tao toàn thế giận tao tao dỗi lại , lại phải dỗ tao . hahahaha",62,15,vui vẻ
Enjoyment,per vui quá .. đi dạo được ven hồ rồi 🙂,39,11,vui vẻ
Enjoyment,per cảm ơn tôi đi . thấy tầm quan trọng của máy chém gió chưa,61,15,vui vẻ
Other,cấm đỗ là việc của công an,26,7,khác
Anger,"tao ước gì gặp được cái thằng chế ra con xe lead , tao sẽ tán cho nó sấp mặt luôn . 😒 còn video này tao hóng mãi lúc nó so ... mà đéo thấy haha",143,37,giận dữ
Enjoyment,nghe nguồn tao biết được độ chân thực của câu chuyện rồi 😂😂😂,60,13,vui vẻ
Disgust,"mấy thành phần không chấp hành luật giao thông cứ phải thế này . cơ mà thằng này gà thật , tạt mẹ vào quán nước mà ngồi uống chứ làm gì phải dắt xe khổ thế kia",159,38,khó chịu
Enjoyment,per giải trí =))),17,4,vui vẻ
Enjoyment,< 3 chuyện lạ có thật :))),26,7,vui vẻ
Enjoyment,cười vô mặt,11,3,vui vẻ
Other,cuộc sống mà .. ghi không được thì thôi . sao mấy bạn chửi người ta dữ vậy,74,18,khác
Enjoyment,per kỉ niệm nhất là những ngày trốn học cùng nhau đi xem phim 😂😂😂,65,15,vui vẻ
Sadness,đau bụng quá ự ự,16,5,buồn
Enjoyment,lợi ích của việc giữ vững quan điểm 😄,37,9,vui vẻ
Sadness,thế này mà mày vẫn còn buồn thì ...,35,9,buồn
Disgust,thấy mà nhớ lại quá . lúc còn sinh viên . di làm thêm ở quán kara . đm tụi nó tổ chức sinh nhật . rồi bày ra trang trí để tỏ tình . rồi quà bỏ xốp hột không trong đó . vừa xốp . vừa đèn cầy . vừa kim tuyến . bia . đồ ăn đồ . làm buổi có 40k mà dọn đúng là như thèn này chửi . dọn mún lòa lozzz ra lun . ức chế lắm,313,84,khó chịu
Other,sáng nay tao mới thấy 2 con này đi cùng,39,10,khác
Enjoyment,bạn trai tao đéo biết giận dai nên không phải dỗ,48,11,vui vẻ
Surprise,tại sao lại phải che mặt vậy,28,7,ngạc nhiên
Sadness,án mà cứ xử như vậy thì sao có được lòng dân,44,12,buồn
Disgust,thế tao mới quyết tâm tìm ra facebook thật của nó để no hết đường lừa các em mới lớn đó,87,21,khó chịu
Fear,sợ ngỗng còn hơn sợ chó :))),28,7,sợ hãi
Disgust,"vậy thì tao sẽ ước mơ là các nhà thơ đừng bao giờ xài ẩn dụ , chơi chữ :) đã ngu văn còn bắt phân tích thấy mẹ luôn",115,30,khó chịu
Enjoyment,nhiê ̀ u biê ́ n đô ̣ người kha ́ thu ́ vi ̣ =)),48,16,vui vẻ
Sadness,"thương tra ̀ o nươ ́ c mă ́ tao ... cuô ́ i cu ̀ người thi ̀ ban la ̃ nh đa ̣ o bă ́ c ninh đa ̃ lên tiê ́ người giu ́ p đơ ̃ ca ́ c be ́, du ̀ qua ́ muô ̣ n @",159,54,buồn
Other,lấy giẻ lau xong vắt chắc cũng được nửa,39,9,khác
Enjoyment,ngày xưa mừn cũng hay thế lắm .,31,8,vui vẻ
Other,chắc nó se lạnh thì đừng hỏi tại sao thằng kia lấp nhíp sưởi ấm cũng không thấy .,81,19,khác
Sadness,phận làm trai nào sung sướng gì 😂,33,8,buồn
Enjoyment,"hôm nay ai có vàng bán hết đi , tuần sau mua lại , lời vãi .",60,17,vui vẻ
Other,kính thủy lực là kính gì bạn ơi,31,8,khác
Sadness,chưa bao giờ được nge câu này 😞,31,8,buồn
Disgust,nam chính người nào cũng bị bệnh tự luyến nữa :))))))),54,11,khó chịu
Enjoyment,"cũng chuẩn , giờ khởi nghiệp vậy phá sản chỉ mấy tháng đầu",58,13,vui vẻ
Disgust,chỗ tao lắm đứa khó chịu vãi,28,7,khó chịu
Disgust,"tất cả là do chính sách sai lầm của những người đứng đầu tỉnh sơn la . tsb cao su nó phù hợp trồng ở cao nguyên + nhiệt đới nắng lắm chứ lên tây bắc lạnh giá + sương muối thì cây cao su làm sao nó sinh trưởng tốt và hợp khí hậu được mà chả trắng tay :))) còn cả cây cafe đang được trồng ở sơn la , điện biên nữa sớm muộn gì những người dân trồng hai loại cây này cũng nhận trái đắng trắng tay thôi",397,93,khó chịu
Enjoyment,quá giỏi . đạp đến ngất đi mà không quay đầu . sau này em sẽ thành công . chắc chắn vậy,87,22,vui vẻ
Disgust,vừa đi về ?? mưa sấp mặt,24,7,khó chịu
Enjoyment,bài viết hay quá !,18,5,vui vẻ
Enjoyment,gì cũng được ?????? dễ vãi,26,6,vui vẻ
Other,đã năm 2000 . người ta cho mượn 200 tr rồi .. từ đó về sau nhà người ta có cần 25 tr / tháng hay không ???,106,28,khác
Enjoyment,ôi cháu taooo =)))),19,4,vui vẻ
Other,nó chỉ muốn chén mày thôi . thật đấy,36,9,khác
Anger,"cô giáo ngu bỏ mẹ , xong được bầy hãm lòn trẻ trâu này nữa , kia là em tao , không biết tao sẽ làm gì bọn khốn nạn này nữa :))",126,33,giận dữ
Sadness,haizzzz đó là 1 câu chuyện khá bùn,34,8,buồn
Disgust,"chồng này chắc cú có gai ah , mặc quần đéo gì vậy",49,13,khó chịu
Enjoyment,"haa ... haa ... ! đúng là có thay đổi lớn ! ngồi nhâm nhi ly cafe , phì phèo điếu thuốc nhìn thiên hạ cũng vui kkk ... !",120,30,vui vẻ
Sadness,nhưng nó cười với đứa khác không phải mày .... 💔,48,11,buồn
Sadness,per anh ơi đừng gym nữa . boxing là đụ rùi :((,46,12,buồn
Enjoyment,đừng có thấy 6 múi mà ham nha nha 😂😂,36,10,vui vẻ
Other,thật ra mấy đứa bị chửi nhiều thế này ra đời lại biết cư xử hơn những đứa khác .,80,20,khác
Anger,muốn nói bậy ghê :)))) nuôi con chó mà nuôi ra vậy . vừa ôm vừa bị ve,69,18,giận dữ
Enjoyment,- mấy bạn đừng có đổ mình nữa nha 😞😞. mình ngại lắm 😞🤣,54,14,vui vẻ
Enjoyment,tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =)),71,17,vui vẻ
Enjoyment,chúc mừng các anh . các anh giỏi quá . chuc các anh mạnh khỏe .,63,16,vui vẻ
Enjoyment,per hóng phim này dụ dỗ mọi người xem tiếp nè anh :v,52,13,vui vẻ
Sadness,ngày chủ nhiệm cu nhà mình cô nhẹ nhàng nết na lắm mà ! giờ thì sao cô lại hành xử như vậy chứ ! thật buồn !,108,28,buồn
Enjoyment,"nhớ hồi euro 2012 rực sáng trong màu áo tuyển ý , ghi mấy bàn mà bàn nào cũng thấy phê .",88,22,vui vẻ
Enjoyment,đáng yêu vại trời,17,4,vui vẻ
Disgust,kéo nhau ra toà ly hôn tự nhiên béo ngành thuế,46,11,khó chịu
Sadness,ai sẽ cùng tôi mang nỗi đau này cơ chứ,38,10,buồn
Disgust,ngu thì mới đi vào phủ dầy nhé chứ chợ đâu đến mức như vậy ??????,65,16,khó chịu
Other,sĩ diện không nội mũ và cái kết dắt xe hết mẹ đoạn đường,56,14,khác
Sadness,"vietcombank 1 tháng trừ hết 22k phí inter với mobile banking , dù tháng đó kau chả xài tới cái nào :((",102,22,buồn
Sadness,nói thật gia lai nói riêng tây nguyên nói chung xưa nhờ vàng đen '' hồ tiêu ' và vàng trắng ' cao su ' mà người dân có dư cái ăn cái mặt bây giờ thì thua rồi bỏ đi tứ xứ .. một thời,181,46,buồn
Anger,đúng rồi . trái tim thảo mai này dễ rung động lắm nên các anh hay cả các chị và các bạn đừng thả thính em . em đập cho 😭,120,31,giận dữ
Other,nhưng nó lại đéo thích :>,25,6,khác
Disgust,ngu thì chết thôi,17,4,khó chịu
Sadness,nói chung là ai nào buông tay thì người chết vẫn là mấy đứa con gái như tao 😭,77,19,buồn
Disgust,nhớp nhúa,9,2,khó chịu
Disgust,"muôn đời không khá được vì cái thói tham vặt , tham lam vô đáy việt nam ạ",73,18,khó chịu
Fear,"ngày xưa đi học gần trường có bày ngỗng , hôm nào nó cũng cà khía rượt tụi học sinh chạy sấp mặt luôn",101,24,sợ hãi
Sadness,sao lại bất công thế,20,5,buồn
Disgust,nó đi theo gái thì co,21,6,khó chịu
Sadness,là gặp đúng người nhưng lại chẳng đúng thời điểm . cuối cùng vẫn là chúng ta bỏ lỡ nhau 😥😥😥,91,21,buồn
Disgust,chuẩn khi người ta gặp nạn không lo cứu đứng lấy dt ra quay rùi đăng kẻ đó mới là người cần lên án,98,24,khó chịu
Sadness,chia buồn cùng nước pháp .,26,6,buồn
Disgust,con nhà mất dạy,15,4,khó chịu
Other,sau này mình có được như vầy không nhỉ 😊,40,10,khác
Fear,1 % kìa rồi ra cổng gọi thế nào :)),35,10,sợ hãi
Enjoyment,lúc dỗi thì càng dễ thương hơn,30,7,vui vẻ
Sadness,hình vui mà sao đọc lại muốn khóc nhĩ ...,41,10,buồn
Enjoyment,cách tạo nghiệp chướng nhanh và hiệu quả :)),44,9,vui vẻ
Sadness,trông mặt buồn chưa kìa per :(,30,7,buồn
Other,giá như anh được ào rơi về quá khứ ....,39,10,khác
Sadness,tao thì muốn là đéo bao giờ . nhưng mẹ tao thì muốn ngay bây giờ 😢,66,17,buồn
Other,đã tới tuổi thay đường ray rồi mà không thay,44,10,khác
Fear,chuột mà làm như người vậy .. ít hôm nó gặm cả rắn cả dây thì thấy mẹ ..,72,19,sợ hãi
Other,cái quần tà lỏn xanhhhh,23,5,khác
Other,thật tình mà nói cao su phát triển đất đồi là sai lầm .,55,14,khác
Other,mấy bé đừng tưởng giận lại là ngon ạ :v có khi giận lại xog nó giết luôn đấy :),79,20,khác
Other,per mốt mua son anh sài luôn,28,7,khác
Anger,"per bất hạnh thật tao với mày mua bánh ăn chung đi , cóc cần gấu 🤨",66,17,giận dữ
Sadness,tội quá ! nuôi mà không chăm sóc,32,8,buồn
Disgust,không phải ai cũng vậy nên đừng thấy mập rồi tưởng mình hát hay 😌,65,15,khó chịu
Anger,bao giờ mua bánh tặng gấu thì tao mới mua nhá . ở đấy mà chê tao bất hạnh,73,19,giận dữ
Fear,rất nguy hiểm nhé nhảy không qua là xác định dập mặt,52,12,sợ hãi
Anger,đm nhà bà . con gái người ta nuôi lớn không báo đáp được gì đã về làm dâu nhà bà . nó lấy chồng chứ có làm giúp việc cho nhà bà đâu mà hành hạ nó thế .,151,40,giận dữ
Fear,"xã hội thật phức tợp , huhu . không muốn sống chung loài người nữa , tao về núi đây",83,20,sợ hãi
Sadness,đã khóc . cha mẹ là người luôn yêu thương minh nhất,51,12,buồn
Disgust,không lo chạy bo đi còn tạo sấm sét doạ người lứa,49,12,khó chịu
Enjoyment,ngày xưa đi học đạp xe qua cứ tưởng được quay phim đưa lên truyền hình :)),74,17,vui vẻ
Disgust,lừa cả tỉ đồng mà đóng phạt 5tr :)) thế này thì răn đe cũng,59,15,khó chịu
Enjoyment,hay qua hoc theo cho vui,24,6,vui vẻ
Disgust,bụng công nhân thành hố chôn lợn dịch,37,8,khó chịu
Disgust,tươi ngon sạch sẽ thì đéo thích ăn . cứ thích ăn cút trâu cứt bò,64,16,khó chịu
Enjoyment,đáng yêu vậy =))),17,4,vui vẻ
Sadness,"per lại nữa , tao dg suy nghĩ có nên đi bằng rap về không",57,15,buồn
Fear,nhìn sợ vãi ra,14,4,sợ hãi
Other,"bởi vậy , nên tỏ ra là 1 người không cảm xúc",44,12,khác
Sadness,cả 1 đời người chẳng mong gì chỉ mong từ đây đến phút cuối vẫn có người không quên mình đã từng tồn tại,103,24,buồn
Anger,coi mà lộn ruột .,17,5,giận dữ
Enjoyment,a per doi dap rat tuyet voi . chuc anh thanh cong trong vu nay .,64,16,vui vẻ
Enjoyment,dân kinh doanh khoái đi chợ này lắm nè,38,9,vui vẻ
Sadness,tiếc cho mối tình ấy ....,25,6,buồn
Surprise,nhanh bất ngờ đấy,17,4,ngạc nhiên
Enjoyment,tao cũng phải về mở cho mẹ tao coi 😂😂,37,10,vui vẻ
Enjoyment,hơi bị nhanh trí :)),20,5,vui vẻ
Enjoyment,giun này mà xào thêm ít xả ớt thì tuyệt cú mèo 🤣,48,13,vui vẻ
Enjoyment,cưng xỉu ??,11,3,vui vẻ
Disgust,"ngày trước cái thằng ngồi cạnh nhờ nó né cái mông để lấy cái bút dưới bàn nó nó đéo né . cuối cùng nó phải lên phòng ý tế băng đầu ( lớp 1 🤣) "" tôi đã nợ chàng trai ấy một cái "" đập đầu "" ""🤣",190,50,khó chịu
Disgust,êu tự ý đụng chạm vào người khác đã là vô duyên hãm lồn rồi . nhất là con gái . bọn này ý thức như đách lol,107,28,khó chịu
Sadness,nhớ tới mối tình đơn phương !,29,7,buồn
Fear,dã man quá ..,13,4,sợ hãi
Disgust,"nhẹ tay quá phải hơn nữa , may mắn là nó chưa cắn ai hay làm gì ai",66,18,khó chịu
Sadness,per ly trà sen của anh đem qua có ngày nó thành như v đó 😭😭 hức hức ...,71,19,buồn
Anger,chẳng bù tuổi thơ tao đi học toàn gặp mấy thằng ông nội mắc thần bố . gặp mặt tao là đánh với bắt nạt tao có trò mới là bắt tao ra thử trước bà mẹ nó :))) cái phường bất lương,175,43,giận dữ
Enjoyment,per my nè kkk,13,4,vui vẻ
Other,may không có ai trong nhà,25,6,khác
Other,ngồi ăn mà 3 đứa cứ nhìn châm châm thế này sao nuốt nổi ??????,62,15,khác
Other,có gì vui không nhỉ,19,5,khác
Enjoyment,gắn bó thời sinh viên nè,24,6,vui vẻ
Disgust,"thôi mày đừng saolol , hoang tưởng thâm niên à , nó mở mồm ra cái là nó đào cả họ hàng mày nên nó chửi cho biết mặt . nhìn lằm nhìn lốn 😒😒",138,35,khó chịu
Enjoyment,"haha dần dần phải kiềm chế , khắc phục sẽ không đáng sợ không bằng vũ lực hành động mà nói đâu chết đó :)) kaka",111,26,vui vẻ
Sadness,vì mình chỉ là giờ giải lao trong một hiệp chơi chính của họ,60,14,buồn
Fear,sợ thế,6,2,sợ hãi
Enjoyment,hihi mắc cười quá,17,4,vui vẻ
Enjoyment,"per anh không nặn đi , mai mốt nó sẽ chaii dầy nè hihii :)))",60,15,vui vẻ
Other,bn tao vẽ đẹp vãi nhưng nó lại mắc bệnh lười nếu nó vẽ thì nó sẽ vẽ he .. n .... tai :v,87,24,khác
Disgust,đi chơi còn bỏ quên cả não ấy,29,8,khó chịu
Fear,hú hồn chim én :) nào làm ra này chắc cũng ngáo dữ :) chắc add không sợ nhện :),79,20,sợ hãi
Enjoyment,yêu dã man kkk,14,4,vui vẻ
Disgust,"đất nước bao nhiêu khoản phải tri trả , nhưng phải trả cho một đám cổ động viên quá khích thì quả là không đáng , các cụ đã bảo mọi sự ngu dốt đều phải trá giá bằng tiền mặt , bảo dân trí thấp lại tự ái :))",206,50,khó chịu
Other,"chỉ là nghe bạn nói , chẳng thấy bằng chứng đâu",47,11,khác
Anger,"hành nó đưa đèn ông sao lên nữa chứ , ác vãi , ta nhớ lại còn cay ?",67,19,giận dữ
Surprise,đẹp trai mà bị đá à =)),23,7,ngạc nhiên
Sadness,kiểu định share vì thấy tinh thần khá hơn nhưng đọc bình luận xong kiểu nhiều đứa còn tiêu cực hơn mình :<,106,23,buồn
Other,đắt quá thôi không ly hôn nữa,29,7,khác
Disgust,thôi tốt nhất đừng có diễn . nể nhất mấy bố giả vờ khóc xong ôm ôm lợi dụng rờ mông con gái nhà người ta,104,26,khó chịu
Fear,"gặp cái này "" sun "" mẹ nó vào ... :))",37,11,sợ hãi
Fear,"chuẩn . tao mà chơi hoặc làm việc cùng bọn con gái tính công chúa một thời gian thì tao ngày nào cũng sờ troét , sau đó bị trầm cảm .",133,32,sợ hãi
Sadness,bé có năng khiếu làm cô giáo dạy văn ... nghe thì nghĩ tục nhưng đời thường là có thật ... bác nghe thấy đồng cảm với các cháu,126,29,buồn
Disgust,nhưng mà người khác nhìn vào bảo thế là lẳng lơ,47,11,khó chịu
Other,nhìn 2 đôi giày đó mà nói 1967 .... thôi thôi !!!!,50,12,khác
Other,chẳng ai biết và riêng mình càng không muốn biết !,50,11,khác
Enjoyment,"per đoạn thằng kia tán trái sầu riêng , không trượt phát nào 🤣🤣",63,14,vui vẻ
Other,đấm cho liên tục vào mồm đéo trượt phát lòn nào cả =)),54,13,khác
Disgust,bài lồn đó nghe hãm vãi đéo hiểu sao lại thích,46,11,khó chịu
Surprise,per giống câu chuyện anh kể hôm bữa qua ha ... con chó này 3 lanh thiệt ak ...,78,19,ngạc nhiên
Anger,bạn khốn nạn,12,3,giận dữ
Sadness,t mới tính tới bước thất bại chưa tính tới thành công :)),57,13,buồn
Sadness,còn buồn hơn là cố quan tâm thế nào họ vẫn không hề rep lại,59,15,buồn
Sadness,h chỉ pk nhìn họ bên người khác :((,35,9,buồn
Sadness,tao cũng vậy nè . lắm lúc đi với chồng mà cứ hỏi bên này bên phải nhỉ bên này bên trái nhỉ . mệt mỏi,100,26,buồn
Disgust,"66 năm không làm việc nhà giúp vợ hoặc có làm thì cũng phát được , phát không",77,18,khó chịu
Enjoyment,buồn cười 😂😂,12,3,vui vẻ
Enjoyment,cãi tay đôi luôn hahhaa,23,5,vui vẻ
Enjoyment,cứ mỗi lần cắt tóc xong tao lại thấy biết ơn bố mẹ vì đã sinh ra tao đzai vãi :))),82,21,vui vẻ
Other,buồn nào rồi cũng sẽ qua chỉ có buồn ngủ không tha ngày nào thôi,64,15,khác
Enjoyment,per =))))) đúng kiểu sáng tạo :)),33,7,vui vẻ
Disgust,"cắt cái tai vứt mẹ cho rồi , gớm chết mẹ",40,11,khó chịu
Sadness,"ai nói kết có hậu , đầu khấc mất vợ tương lai kia kìa",53,14,buồn
Disgust,"hồi trước nghe câu : "" gái ham tài , trai ham sắc "" nên cố học hành cho nó ham , ai ngờ giờ mới biết nó ham tài sản chứ không phải tài năng .",141,37,khó chịu
Fear,thế giới này thật đáng sợ :3 trả đĩa bay cho tôi về đi :3,57,15,sợ hãi
Disgust,per đã thích phá game còn thích hổ báo,38,9,khó chịu
Other,"thật ra nó không quên đường về nhà đâu , nó muốn đi bụi thôi",60,15,khác
Sadness,t có 2 con bạn thân nó thì cao trọc trời còn tao thì ... . buồn,63,17,buồn
Disgust,đmm cái quần ngàn thu,21,5,khó chịu
Other,per bài của anh luôn nè,23,6,khác
Other,nhưng liệu như vậy sẽ dễ dàng để người khác xen vào không :),60,14,khác
Anger,xin lô ̃ i chư ́ tao te ́ ma ̀ thă ̀ người lz camera quay câ ̣ n mă ̣ tao như thê ́ thi ̀ tao đe ́ o đa ́ không đâu,115,36,giận dữ
Enjoyment,em này xinh vãi các bác ạ .,27,8,vui vẻ
Other,thì ghi bằng tay phải cho nhanh,31,7,khác
Enjoyment,đáng iêu vãi =]],16,4,vui vẻ
Surprise,anh tây nói tiếng việt giỏi thiệt .,35,8,ngạc nhiên
Sadness,có người đến gần cuối đời rồi vẫn còn khổ ! :(,46,12,buồn
Anger,mày xuống thì xuống mẹ mày đi . ngứa cả mắt 😩😩😩😩😩,49,12,giận dữ
Enjoyment,phim này hay dã man luôn - có ai biết phim nào kiểu dạng này nữa o 😍😍😍,70,18,vui vẻ
Disgust,"dume về bố lại táng cho bờm đầu , có thể là lần cuối được đi xem đá bóng của cháu nó :))",88,23,khó chịu
Disgust,làm như đứa con gái nào cũng ham tiền . gái tốt thíu gì,55,14,khó chịu
Other,"khuyến cáo "" đừng nên học võ khi không có tiền mua dụng cụ "" per",64,16,khác
Disgust,hết muốn ăn luôn,16,4,khó chịu
Enjoyment,vợ chồng đã hiểu và sống tốt . thì với tôi ngày nào cũng là ngày tao / y .,74,20,vui vẻ
Anger,gặp bố bố tung phát chụp cây dù bố xiên cho cái đừng hỏi sau tức nước thủng mắt,79,19,giận dữ
Disgust,tha cho cô chú đó đi,20,6,khó chịu
Enjoyment,"những người trẻ với tấm lòng nhân hậu , các bạn thật đáng yêu .",63,15,vui vẻ
Enjoyment,nghe cũng đúng đúng :)),23,5,vui vẻ
Enjoyment,chuẩn,5,1,vui vẻ
Anger,"trung thu là tết thiếu nhi , yêu đường gì liên quan ở đây .. gấu với chả bò",75,19,giận dữ
Enjoyment,waooooo . hợp lí ghe,20,5,vui vẻ
Sadness,nhìn thôi đã đau lòng,21,5,buồn
Other,ở miền nam nó vẫn không được giá như trước nhưng cũng dư giả,60,14,khác
Fear,per sợ nhện đúng không :)),26,6,sợ hãi
Other,per sau khi cưới,16,4,khác
Anger,"per bắt được chắc nó mềm xương , chơi mất dạy 😔😔",48,12,giận dữ
Disgust,con này không có cái quần nào mặc cho đàng hoàng 🤦‍♀️,53,12,khó chịu
Fear,mấy nay tao cũng bị ám ảnh,26,7,sợ hãi
Sadness,"có lần tao thổi cơm không đổ nước lúc khét mở vung ra mới biết , làm đánh đít xong cả tiếng trời không hết",106,25,buồn
Enjoyment,nhưng đảm bảo coi cái nào là cười sặc cái đó :)) vì nó diễn tệ đến nỗi nó hay,77,20,vui vẻ
Other,"đúng rồi , tưởng vậy nhưng hóa ra không phải ...",48,11,khác
Enjoyment,dăm ba cái nồi này sao nấu ngon bằng cơm điện nhà tao được . kaka,65,16,vui vẻ
Disgust,"phải người vô ý thức , đành rằng người ta làm kiếm tiền nghề gì cũng là nghề mình phải biết tôn trọng người khác , có tôn trọng người thì người mới tôn trọng mình . kể cả người ta đi ăn xin mình cũng cho đoàng hoàng chứ không thể cầm tiền quăng cái víu vào người ta được",270,61,khó chịu
Disgust,rồi các em cũng ăn cứt thôi :)),31,8,khó chịu
Fear,ukm . nguy hiểm thật :'<,24,6,sợ hãi
Disgust,quá độc ác,10,3,khó chịu
Sadness,per tao đã làm cho mày đau lòng nhiều lắm ư 🤔,45,12,buồn
Disgust,đi tù thôi các cháu,19,5,khó chịu
Disgust,"ghê tởm , ông thầy đó 🙄",23,7,khó chịu
Other,"mày đúng là nên gặp bác sĩ tâm lý , và hoàn toàn nghe theo bác sĩ",65,17,khác
Fear,đm tao biết trước cả sự việc kiểu lìn gì cũng có nhện nhảy lên màn hình . vì mấy năm trước cũng có 1 thể loại giống như vậy . đm hú nhồn,136,34,sợ hãi
Other,đôi khi công việc không áp lực .... nhưng chính môi trường làm mọi thứ trở nên áp lực,85,19,khác
Anger,hỏi lồn gì lắm thế,18,5,giận dữ
Surprise,bài này hay quá,15,4,ngạc nhiên
Sadness,hồi đó tao lấy cái đó kẻ tập luôn kiểu làm màu mè cho đẹp xong lên trả bài bị bà cô trừ điểm ????,97,25,buồn
Anger,"giơ cao đánh khẽ , cảnh cáo cho có lệ",37,10,giận dữ
Enjoyment,tao thầy mày cười hí hửng vại mà ?,34,9,vui vẻ
Sadness,gần 1h đêm là con trai mà xem xong nói chuyện mắt vẫn rỡi 😔😔,60,15,buồn
Sadness,mới có 3 năm thôi mà ... vậy mà chúng ta còn không tụ họp được lần nào cả,73,19,buồn
Disgust,những người như thế này tử hình,31,7,khó chịu
Enjoyment,ngôn tình từ anh mà ra,22,6,vui vẻ
Disgust,đm phí hết sức :((,18,5,khó chịu
Sadness,🙁 bị rớt tiền,13,4,buồn
Disgust,"tôi kể các bạn nghe 1 chuyện có dính 1 tý với caphe tn : chuyện thế này ba vợ tôi có 1 người bạn rất khó khắn nghèo và đang trốn nợ , ba tôi cho ông chiếc xe máy củ để đi xe ôm . vợ chồng ông bạn này bỏ quê trốn nợ lên tây nguyên làm công cho nhà máy caphe tn trong 4 năm học được nghề làm caphe và sáng lập caphe tuấn kiệt caphe công thức y chang tn bán hợp lý hơn ! ngày nay ông chủ tuấn kiệt đã là 1 đại gia có nhà máy ở sốc trăng , ông ấy đi tìm và trả nợ từng người ơn của mình ! mổi lần ba tôi lên sg ông đều cho xe tới mời ba tôi đi ăn nhậu ! trong lúc ngà ngà ông ấy nói "" em chả bao giờ uống caphe của em làm , tn cũng vậy "" thế đó",640,164,khó chịu
Enjoyment,mong mai sau cũng được như ông bà,33,8,vui vẻ
Disgust,nó ngáo đá . nay nó leo cột điện . mợ cứu nó xuống mai nó làm vài mạng người,76,20,khó chịu
Sadness,nó cười với người khác chứ * beep * phải tao :((,48,12,buồn
Enjoyment,xem lại quá nhiều lần đến nỗi không nhớ nổi . vì phim quá hay và ý nghĩa .,74,19,vui vẻ
Enjoyment,ahihi khá là buồn cười,22,5,vui vẻ
Enjoyment,t ngắm người yêu tao cười mà càng ngắm tao càng yêu lúc giận cơ nhìn muốn cắn cho mấy phát tao bị cuồng người yêu rồi cái,121,28,vui vẻ
Disgust,đừng có xàm lồn trên này,24,6,khó chịu
Anger,gặp tao tao thuê giang hồ tới chém hết cả nhà nó luôn,53,13,giận dữ
Anger,"địt mẹ mày viết lên chỗ nào nước đéo tới ấy , ngulon",52,13,giận dữ
Sadness,"những thứ tưởng chừng như rất đẹp nhưng kbh được trọn vẹn , cuối cùng để lại chỉ là những kỉ niệm đã từng :))",109,25,buồn
Enjoyment,"ba chàng ngốc , phim ấn độ , cực hài , cực cảm động và ý nghĩa nhé",66,18,vui vẻ
Enjoyment,"1 bộ phim phải nói trên cả tuyệt vời , xem đi xem lại cả chục lần rồi mà không ngán",83,21,vui vẻ
Sadness,bây giờ tao lấy chồng rồi còn không có cơ hội ngủ với em gái 😫,62,16,buồn
Enjoyment,cái mặt cưng xĩu,16,4,vui vẻ
Enjoyment,per đây là chúng mềnh 🤪🤪,24,6,vui vẻ
Disgust,ngu như mày thì khỏe,20,5,khó chịu
Fear,không biết có ai ở trong ngôi nhà không,39,9,sợ hãi
Other,hình như cũng mới có vụ bể bình dâu tằm,39,10,khác
Sadness,tao bị biến dạng luôn một tay,29,7,buồn
Sadness,mai đi học mà mình quên cách cầm bút rồi huhu :<,48,12,buồn
Surprise,chời ơi gì vậy ở giây thứ cuối cùng anh em nha :))),51,13,ngạc nhiên
Disgust,nó chi ̉ muô ́ n tâm sư ̣ chư ́ thi ́ ch me ́ o đâu ma ̀ thi ́ ch,65,23,khó chịu
Sadness,per mỏi chân quái :v,20,5,buồn
Disgust,"đúng là không sợ địch mạnh , chỉ sợ chỉ huy ngu như bò",54,14,khó chịu
